idx,time_s,raw,distance_m,distance_mm
702,0.043000,65198,33.138205,33138
703,0.043000,1535,0.780195,780
704,0.043000,42495,21.598945,21599
705,0.043000,41982,21.338202,21338
706,0.043000,23813,12.103440,12103
707,0.043000,23973,12.184763,12185
708,0.043000,65187,33.132614,33133
709,0.043000,65117,33.097035,33097
710,0.043000,64605,32.836800,32837
711,0.043000,3070,1.560390,1560
712,0.043000,19454,9.887890,9888
713,0.043000,18428,9.366404,9366
714,0.043000,47627,24.207388,24207
715,0.044000,47947,24.370034,24370
716,0.044000,64839,32.955736,32956
717,0.044000,64954,33.014187,33014
718,0.044000,63931,32.494226,32494
719,0.044000,6141,3.121288,3121
720,0.044000,38909,19.776288,19776
721,0.044000,36857,18.733317,18733
722,0.044000,29719,15.105284,15105
723,0.044000,30720,15.614063,15614
724,0.044000,30615,15.560694,15561
725,0.044000,64399,32.732097,32732
726,0.044000,64116,32.588256,32588
727,0.044000,62071,31.548844,31549
728,0.044000,12283,6.243084,6243
729,0.044000,12282,6.242575,6243
730,0.044000,8178,4.156634,4157
731,0.045000,59439,30.211076,30211
732,0.045000,60975,30.991779,30992
733,0.045000,63007,32.024585,32025
734,0.045000,62952,31.996630,31997
735,0.045000,58862,29.917804,29918
736,0.045000,24566,12.486167,12486
737,0.045000,24565,12.485659,12486
738,0.045000,16357,8.313777,8314
739,0.045000,53343,27.112661,27113
740,0.045000,56671,28.804184,28804
741,0.045000,60735,30.869794,30870
742,0.045000,60112,30.553142,30553
743,0.045000,51933,26.396000,26396
744,0.045000,49133,24.972843,24973
745,0.045000,49130,24.971318,24971
746,0.045000,32714,16.627553,16628
747,0.045000,41151,20.915830,20916
748,0.046000,47807,24.298876,24299
749,0.046000,55935,28.430097,28430
750,0.046000,54688,27.796284,27796
751,0.046000,38330,19.481999,19482
752,0.046000,32730,16.635686,16636
753,0.046000,32725,16.633144,16633
754,0.046000,65429,33.255615,33256
755,0.046000,16511,8.392050,8392
756,0.046000,32768,16.655000,16655
757,0.046000,29823,15.158144,15158
758,0.046000,46335,23.550703,23551
759,0.046000,43840,22.282568,22283
760,0.046000,11124,5.653998,5654
761,0.046000,65460,33.271371,33271
762,0.046000,65451,33.266797,33267
763,0.047000,65323,33.201738,33202
764,0.047000,33279,16.914726,16915
765,0.047000,59903,30.446914,30447
766,0.047000,26879,13.661796,13662
767,0.047000,22401,11.385762,11386
